asin,title,title_score,thumbnail_score,price_score,trust_score,position_score,search_score,search_rank
B0FFMD5NPF,"Esszimmerstühle Drehbar 2er Set mit Armlehne – 360°Drehbar Polsterstuhl Leinen Modern Drehstuhl Küchenstuhl mit Metallgestell und Rückenlehne für Esszimmer, Wohnzimmer, Büro, Beige",63.82,96.89,76.0,72.37,38.99,74.8,3.0
B0C8N681D2,"WOLTU Esszimmerstuhl drehbar 4er Set, Küchenstuhl, Polsterstuhl, Drehstuhl, bequemer Stuhl mit Armlehnen Rückenlehne, Armlehnenstuhl für Esszimmer Wohnzimmer, mit Samtbezug, Dunkelgrau",55.88,83.22,16.0,78.6,34.6,60.52,52.0
B07KB47FLJ,"ALBATROS Esszimmerstühle 4er Set AARHUS, Weiss - Beine aus Buche Massiv-Holz, Skandinavisches Retro-Design, bequemer Schalenstuhl - Eleganter Küchenstuhl, Stuhl Esszimmer für Esstisch",59.99,47.72,85.0,81.3,36.07,61.93,44.0
B0BWD94QMH,"buybyroom Esszimmerstühle 4er Set Metall Küchenstuhl, Esstisch Stuhl Bequemer Polsterstuhl SitzfläChe,Schwarz",56.65,68.57,97.0,68.64,25.83,65.59,32.0
B0DP9CR9FQ,"OC Orange-Casual 5-teilig Esszimmertisch Set, Esszgruppe für 4 Personen, Esstisch mit 4 Stühle aus MDF& Metall, Esszimmergruppe im Industrial-Look für Esszimmer, Küche, Vintagebraun (2 Packet)",67.48,63.81,70.0,52.82,30.69,60.15,59.0
B0FVM4MDK9,"WAFTING esszimmerstühle 4er Set Drehbar 360°,Armlehnstuhl mit Metallbeinen,geeignet als Stühle Esszimmer,Samt Stuhl,Küchenstühle,Wohnzimmerstuhl,Polsterstuhl mit Samtigem Gefühl,Taupe",42.67,91.12,19.0,62.63,25.97,55.98,79.0
B0FH2GM4K9,"BonVache 6er Set Esszimmerstühle, Küchenstuhl Polsterstuhl mit hoher Rückenlehne, Beine aus Massivholz, Leinenoptik Gepolsterte Sitzfläche für Esszimmer, Wohnzimmer, Arbeitszimmer, Dunkelgrau",57.12,62.92,26.0,64.62,22.69,52.25,89.0
B0H4QXT8CD,"VASAGLE Esszimmerstuhl 4er Set, Küchenstuhl, Polsterstuhl mit Massivholzbeinen, ergonomische Rückenlehne, Aussparung als Griff, Mid-Century-Modern-Stil, Küche, cappuccinobeige KDC668L101-2J",66.21,57.66,16.0,51.82,31.47,49.76,95.0
B0FC2GBK96,"SONGMICS Esszimmerstuhl, Drehstuhl, Küchenstuhl, Samt Polstersessel mit Armlehnen, bis 120 kg belastbar, Stahlbeine, für Esszimmer, Grau und Tintenschwarz KDC161G01",60.68,83.23,95.0,61.77,25.43,69.29,13.0
B0C8N6FXHC,"WOLTU Esszimmerstühle drehbar 6er Set, Küchenstuhl, Polsterstuhl, Drehstuhl, bequemer Stuhl mit Armlehnen Rückenlehne, Armlehnenstuhl für Esszimmer Wohnzimmer, mit Kunstlederbezug, Braun",55.86,91.39,2.0,73.17,22.57,58.57,72.0
