asin,image_type,image_index,image_url
B0DM1FW59V,a_plus,0,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6485e30d-e8c0-4a49-a521-99d4d895542a.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,1,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/70c39eae-2350-4203-b002-a4cd76c2bd7b.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,2,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/11d7511f-986c-46b1-8389-9929418cbe6a.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,3,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/968cd528-d3d3-4257-8f24-9d1f33ad1578.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,4,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/ab68b567-5034-41a4-b1da-0000d2d15360.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,5,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/6485e30d-e8c0-4a49-a521-99d4d895542a.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,6,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/70c39eae-2350-4203-b002-a4cd76c2bd7b.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,7,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/11d7511f-986c-46b1-8389-9929418cbe6a.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,8,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/968cd528-d3d3-4257-8f24-9d1f33ad1578.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B0DM1FW59V,a_plus,9,"https://m.media-amazon.com/images/S/aplus-media-library-service-media/ab68b567-5034-41a4-b1da-0000d2d15360.__CR0,0,3000,1230_PT0_SX1464_V1___.jpg"
B01KO2I7XU,high_resolution,0,https://m.media-amazon.com/images/I/51Ba9yPCtnL._AC_SL1254_.jpg
B01KO2I7XU,high_resolution,1,https://m.media-amazon.com/images/I/712TWc9aiJL._AC_SL1500_.jpg
B01KO2I7XU,high_resolution,2,https://m.media-amazon.com/images/I/51nxw2BPbuL._AC_SL1254_.jpg
B01KO2I7XU,high_resolution,3,https://m.media-amazon.com/images/I/71k5g3rQK7L._AC_SL1254_.jpg
B01KO2I7XU,high_resolution,4,https://m.media-amazon.com/images/I/71P3prYfYQL._AC_SL1254_.jpg
B01KO2I7XU,high_resolution,5,https://m.media-amazon.com/images/I/61a77u1JkkL._AC_SL1254_.jpg
B01KO2I7XU,high_resolution,6,https://m.media-amazon.com/images/I/61xZSv5036L._AC_SL1254_.jpg
B01KO2I7XU,high_resolution,7,https://m.media-amazon.com/images/I/41mTQy7EMBL._AC_SL1500_.jpg
B01KO2I7XU,high_resolution,8,https://m.media-amazon.com/images/I/513hKbRuurL._AC_SL1500_.jpg
